Event ID	Event Date	Source Name	Source Sectors	Source Country	Event Text	CAMEO Code	Intensity	Target Name	Target Sectors	Target Country	Story ID	Sentence Number	Publisher	City	District	Province	Country	Latitude	Longitude
37781868	2023-04-06	Xi Jinping	(National) Major Party,Elite,Executive,Executive Office,Government,Government Major Party (In Government),Legislative / Parliamentary,Military,Parties,Unicameral	China	Reject	120	-4	Russia		Russian Federation	57129576	2	Unknown				Russian Federation	55.7522	37.6156
37782101	2023-04-06	Medical Personnel (Ukraine)	Medical / Health NGOs,Nongovernmental Organizations / Activists	Ukraine	Provide aid	070	7	Citizen (Ukraine)	General Population / Civilian / Social,Social	Ukraine	57129578	6	Unknown	Izyum		Kharkivs'ka Oblast'	Ukraine	49.2088	37.2485
37781800	2023-04-06	National Security and Defense Council	Defense / Security Ministry,Executive,Government	Ukraine	Make statement	010	0	Security Service of Ukraine	Government,National / Border Divisions,Police	Ukraine	57129579	6	Unknown				Ukraine	50.4547	30.5238
37782003	2023-04-06	Government (Sweden)	Government	Sweden	Reject judicial cooperation	1213	-4	Turkey		Turkey	57129583	1	Unknown	Ankara		Ankara	Turkey	39.9199	32.8543
37782048	2023-04-06	Russian Orthodox Church	International Religious,National Religious,Orthodox,Religious Majority,Social	Russian Federation	Make an appeal or request	020	3	Citizen (Ukraine)	General Population / Civilian / Social,Social	Ukraine	57129589	5	The Moscow Times	Moscow		Moskva	Russian Federation	55.7522	37.6156
37782049	2023-04-06	Citizen (Ukraine)	General Population / Civilian / Social,Social	Ukraine	Demonstrate or rally	141	-6.5	Unspecified Actor	Unspecified		57129589	5	The Moscow Times	Moscow		Moskva	Russian Federation	55.7522	37.6156
37782102	2023-04-06	Head of Government (Ukraine)	Executive,Executive Office,Government	Ukraine	Make statement	010	0	Military (Ukraine)	Government,Military	Ukraine	57129594	6	Reuters News	Bakhmut		Poltavs'ka Oblast'	Ukraine	49.15	34.2833
37781744	2023-04-06	Assemblies (Pakistan)	Government,Legislative / Parliamentary	Pakistan	Make an appeal or request	020	3	Member of the Judiciary (Pakistan)	Government,Judicial	Pakistan	57129595	3	Indo-Asian News Service			Balochistan	Pakistan	28.4785	65.6435
37782005	2023-04-06	Military (Cameroon)	Government,Military	Cameroon	Provide humanitarian aid	073	7.4	Citizen (Cameroon)	General Population / Civilian / Social,Social	Cameroon	57129599	4	Associated Press Newswires	Abafum		North-West Region	Cameroon	6.93333	10.55
37782004	2023-04-06	Citizen (Cameroon)	General Population / Civilian / Social,Social	Cameroon	Appeal for military aid	0232	3.4	Other Authorities / Officials (Cameroon)	Government	Cameroon	57129599	5	Associated Press Newswires	Abafum		North-West Region	Cameroon	6.93333	10.55
37782006	2023-04-06	Other Authorities / Officials (Cameroon)	Government	Cameroon	Demonstrate military or police power	150	-7.2	Cameroon		Cameroon	57129599	5	Associated Press Newswires	Abafum		North-West Region	Cameroon	6.93333	10.55
37782103	2023-04-06	Cote d'Ivoire		Cote d'Ivoire	Praise or endorse	051	3.4	Indigenous People (Cote d'Ivoire)	General Population / Civilian / Social,Social	Cote d'Ivoire	57129605	1	Agence Ivoirienne de Presse	Seguela		Worodougou	Cote d'Ivoire	7.96111	-6.67306
37782104	2023-04-06	Police (Cote d'Ivoire)	Government,Police	Cote d'Ivoire	Provide humanitarian aid	073	7.4	Indigenous People (Cote d'Ivoire)	General Population / Civilian / Social,Social	Cote d'Ivoire	57129605	1	Agence Ivoirienne de Presse	Seguela		Worodougou	Cote d'Ivoire	7.96111	-6.67306
37782105	2023-04-06	Citizen (Cote d'Ivoire)	General Population / Civilian / Social,Social	Cote d'Ivoire	Conduct hunger strike	142	-6.5	Unspecified Actor	Unspecified		57129605	2	Agence Ivoirienne de Presse	Seguela		Worodougou	Cote d'Ivoire	7.96111	-6.67306
37781804	2023-04-06	United States		United States	Make an appeal or request	020	3	China		China	57129608	1	Agence France-Presse	Beijing		Beijing Shi	China	39.9075	116.397
37781805	2023-04-06	Tsai Ing-wen	(National) Major Party,Center Left,Elite,Executive,Executive Office,Government,Ideological,Nationalist,Opposition Major Party (Out Of Government),Parties	Taiwan	Consult	040	1	Kevin McCarthy	(National) Major Party,Center Right,Government,Ideological,Legislative / Parliamentary,Lower House,Parties	United States	57129608	5	Agence France-Presse	Beijing		Beijing Shi	China	39.9075	116.397
